GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005017902,3030,2,97867.08391177726,0.0,3.621212121212121,65.0,1.7247232835843325,1.0509482925061182,0.0,25.87761208046184,23.945320782965425,0.0,25.164927416566368,22.236468143915907,0.0,824.42,36.1
36005018101,2881,2,104629.02096896808,0.0,3.8181818181818183,65.0,3.424393695563019,1.2724189539316366,0.0,25.80444184490775,19.062407296424457,0.0,36.865135257551366,13.571202951621796,0.0,1070.46,32.4
36005018102,5324,4,104193.25094806924,0.0,3.78,98.0,1.8354627489687076,10.067104380709548,0.0,29.361741593974788,11.415467974747695,0.0,24.873945645564657,22.4462776560346,0.0,608.04,43.6
36005018301,3933,1,97067.9828216306,0.0,3.63768115942029,68.0,1.1048761561494578,0.0,0.0,25.040311446107893,11.21170782224724,0.0,37.890577762805805,24.7525268126896,0.0,892.1,47.2
36005018302,3295,4,101469.0966936928,0.0,3.734513274336283,108.0,0.0,21.365960595140265,0.0,29.106030157473896,12.836566767963278,0.0,18.891761863296782,17.799680616125787,0.0,1319.75,37.0
36005018400,3886,16,107116.84854326864,0.0,3.508241758241758,334.0,1.1792527531439445,0.9471412297673024,0.0244132999664745,34.652486171040394,26.537520925344452,0.0,18.34832815059205,18.31085747014538,0.0,1774.48,38.1
36005018501,3775,1,66556.46613076192,0.0,3.253846153846154,113.0,5.839967714108506,2.6444920624562176,8.475586268067248,40.62098314677933,8.185572949264113,0.0,12.394745834958057,21.838652024366535,0.0,950.85,31.7
36005018502,5525,6,57573.28779946576,0.0,2.9293478260869565,144.0,0.3937024734696941,7.312073560277322,0.3597992005831155,30.844985989556157,26.00188430013886,0.0,17.30694197826141,17.78061249771343,0.0,556.98,32.7
36005018900,8244,0,50840.312866355715,0.0,3.196319018404908,151.0,0.6763369791227555,1.4903193694892387,0.508370064281928,23.538386107613995,27.168843566741636,0.0,12.115554880081229,34.48129977433058,0.0208892583386328,1039.54,32.0
36005019300,5949,0,14104.624636723083,0.0,3.0,15.0,0.1856376739038596,0.2936952771244321,0.0,24.702933794982055,25.413506507492077,0.0,10.140868628902464,39.26168509214973,0.0016730254453709,899.88,34.7
36005019400,2117,6,30172.127197723017,0.0,2.8867924528301887,91.0,0.1932716287503449,0.9886601869743262,2.7265179879584847,15.76289684742222,52.62977443065524,0.0,2.685935215779166,20.504455406654085,4.508488295806141,1941.35,41.5
